Team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Chinese Taipei,4,140,20,38,10,0,3,16,25,24,8,0,.271,.401,.407,.808
Korea,4,131,40,44,6,0,7,37,18,19,2,1,.336,.425,.542,.967
Netherlands,4,125,13,28,1,0,4,12,15,40,3,0,.224,.331,.328,.659
Israel,4,110,4,17,2,0,0,4,7,40,0,0,.155,.231,.173,.404
Japan,7,221,56,66,16,1,9,55,64,58,10,1,.299,.459,.502,.961
Cuba,6,206,31,64,13,1,2,31,22,31,2,1,.311,.382,.413,.795
China,3,79,5,16,0,1,0,3,7,24,3,0,.203,.292,.228,.520
Australia,5,157,32,40,7,1,7,32,24,39,3,0,.255,.369,.446,.815
United States,7,237,51,72,13,5,12,49,32,48,2,0,.304,.394,.553,.947
Dominican Republic,4,138,19,39,10,0,4,17,18,41,1,0,.283,.365,.442,.807
Canada,4,130,27,39,6,1,6,26,24,39,4,0,.300,.417,.500,.917
Colombia,3,100,23,36,9,3,1,20,16,15,5,1,.360,.467,.540,1.007
Czech Republic,4,133,16,28,5,0,2,14,11,54,1,0,.211,.287,.293,.580
Puerto Rico,5,164,34,46,9,2,4,31,16,38,2,0,.280,.351,.433,.784
Venezuela,5,168,30,46,11,1,7,29,21,37,4,0,.274,.359,.476,.835
Italy,5,172,23,47,9,2,1,22,17,34,3,1,.273,.347,.366,.713
Panama,4,135,19,37,7,0,2,18,18,25,6,1,.274,.372,.370,.742
Great Britain,4,118,18,27,9,1,3,16,21,41,7,2,.229,.352,.398,.750
Nicaragua,3,104,10,25,4,0,1,10,9,19,6,1,.240,.304,.308,.612
Mexico,6,211,37,59,10,0,6,37,24,48,7,1,.280,.368,.412,.780
Spain,4,137,25,43,5,0,5,25,23,37,5,2,.314,.429,.460,.889
Brazil,4,127,27,36,11,1,0,23,15,22,0,0,.283,.361,.386,.747
Germany,4,119,23,27,8,0,1,22,25,29,3,0,.227,.379,.319,.698
South Africa,3,97,3,14,0,0,0,2,5,30,0,0,.144,.217,.144,.361
