序,球隊,場數,勝敗,打數,得分,安打,二壘安打,三壘安打,全壘打,打點,四壞球,三振,盜壘,盜壘失敗,犧牲打數,打擊率,上壘率,長打率,上壘加長打率
1,中華,4,1.39,4,26,44,7,2,5,25,14,23,0,0,1,.317,.392,.504,.896
2,韓國,4,1.31,40,44,6,0,7,37,18,19,2,1,1,.336,.425,.542,.967
3,荷蘭,4,1.25,13,28,1,0,4,12,15,48,3,0,1,.224,.331,.328,.659
4,以色列,4,1.18,4,17,2,0,0,4,7,40,0,0,1,.155,.231,.173,.404
5,日本,7,2.21,56,66,16,1,9,55,64,58,18,1,2,.299,.459,.502,.961
6,古巴,6,2.06,31,64,13,1,2,31,22,31,2,1,1,.311,.382,.413,.795
7,中國,4,1.06,10,18,4,0,1,9,12,39,0,0,1,.170,.258,.236,.494
8,澳洲,5,1.57,32,40,7,1,7,32,24,39,3,0,1,.255,.369,.446,.815
9,美國,7,2.37,51,72,13,5,12,49,32,48,2,0,1,.304,.394,.553,.947
10,多明尼加,4,1.38,19,39,10,0,4,17,18,41,1,0,1,.283,.365,.442,.807
11,加拿大,4,1.30,27,39,6,1,6,26,24,39,4,0,1,.300,.417,.500,.917
12,哥倫比亞,4,1.30,12,25,5,0,2,11,10,33,0,2,1,.192,.248,.277,.525
13,捷克,6,2.11,37,59,10,0,6,37,24,48,7,1,1,.280,.368,.412,.780
14,波多黎各,5,1.64,34,46,9,2,4,31,16,38,2,0,1,.280,.351,.433,.784
15,委內瑞拉,5,1.60,30,46,11,1,7,29,21,37,4,0,1,.274,.359,.476,.835
16,義大利,5,1.72,23,47,9,2,1,22,17,34,3,1,1,.273,.347,.366,.713
17,巴拿馬,4,1.35,19,37,7,0,2,18,18,25,6,1,1,.274,.372,.370,.742
18,捷克,4,1.33,16,28,5,0,2,14,11,54,1,0,1,.211,.287,.293,.580
19,英國,4,1.18,18,27,9,1,3,16,21,41,7,2,1,.229,.352,.398,.750
20,尼加拉瓜,4,1.25,4,24,6,0,1,4,7,43,0,1,1,.192,.235,.264,.499
小計/平均, , , , , , , , , , , , , , , ,.000,.000,.000,.000
