Team,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HBP,BB,SO,WHIP,Opp. AVG
Chinese Taipei,2,2,5.25,4,4,0,0,1,1,36.0,44,22,21,2,6,11,38,1.53,.299
Korea,2,2,7.55,4,4,0,0,1,2,31.0,33,26,26,4,5,11,41,1.42,.277
Netherlands,2,2,5.03,4,4,0,0,2,3,34.0,33,19,19,1,3,19,19,1.53,.264
Israel,1,3,6.82,4,4,0,0,1,1,31.2,40,26,24,3,2,16,36,1.77,.310
Japan,7,0,2.29,7,7,0,0,2,2,63.0,44,18,16,8,5,11,80,0.87,.194
Cuba,3,3,5.09,6,6,0,0,1,1,53.0,50,32,30,6,7,24,53,1.40,.246
China,0,3,9.67,3,3,0,0,0,0,22.1,34,32,24,2,5,24,15,2.60,.343
Australia,3,2,4.93,5,5,0,0,1,3,42.0,37,23,23,2,5,25,38,1.48,.242
United States,5,2,4.20,7,7,0,0,2,3,60.0,59,28,28,8,2,20,55,1.32,.255
Dominican Republic,2,2,2.73,4,4,0,1,0,0,33.0,23,11,10,2,1,9,36,0.97,.197
Canada,2,2,8.71,4,4,0,1,0,0,31.0,33,30,30,4,4,24,35,1.84,.284
Colombia,3,0,0.00,3,3,0,2,0,0,25.0,10,1,0,0,1,5,27,0.60,.125
Czech Republic,1,3,7.94,4,4,0,0,0,1,34.0,36,30,30,4,1,23,22,1.74,.281
Puerto Rico,3,2,3.35,5,5,0,1,1,2,43.0,31,17,16,5,1,14,47,1.05,.196
Venezuela,4,1,3.40,5,5,0,0,2,3,45.0,48,18,17,3,1,14,56,1.38,.273
Italy,2,3,4.91,5,5,0,0,0,1,44.0,46,26,24,7,6,21,37,1.52,.274
Panama,2,2,5.40,4,4,0,1,1,2,35.0,47,21,21,3,1,15,24,1.77,.333
Great Britain,1,3,7.84,4,4,0,0,1,1,31.0,40,31,27,4,1,31,22,2.29,.296
Nicaragua,3,0,0.62,3,3,0,1,0,0,29.0,16,2,2,1,1,17,27,1.14,.165
Mexico,4,2,3.83,6,6,0,0,2,5,54.0,45,24,23,7,1,22,58,1.24,.228
Brazil,3,1,4.09,4,4,0,0,2,2,33.0,29,18,15,0,3,24,27,1.61,.238
Spain,2,2,2.23,4,4,0,0,0,0,36.1,27,14,9,2,3,19,33,1.27,.201
Germany,1,3,7.20,4,4,0,0,0,0,30.0,42,27,24,0,5,10,21,1.73,.339
South Africa,0,3,6.49,3,0,0,0,0,1,26.1,33,20,19,4,7,15,12,1.82,.330
