序,球隊,場數,勝敗,防禦率,完投,完封,救援,救援機會,局數,安打,失分,責失,全壘打,觸身球,四壞球,三振,被上壘率,打擊率
1,中華,4,2/2,7.55,0,0,0,2,35.0,44,31,28,3,3,21,29,1.86,.317
2,韓國,4,2/2,7.20,0,0,1,2,31.0,33,26,26,4,5,11,41,1.42,.277
3,荷蘭,4,2/2,5.03,0,0,2,3,34.0,33,19,19,1,3,19,19,1.53,.264
4,以色列,4,1/3,6.82,0,0,1,1,31.2,40,26,24,3,2,16,36,1.77,.310
5,日本,7,7/0,2.29,0,0,2,2,63.0,44,18,16,8,5,11,80,0.87,.194
6,古巴,6,3/3,5.09,0,0,1,1,53.0,50,32,30,6,7,24,53,1.40,.246
7,中國,4,0/4,15.11,0,0,0,1,28.0,51,50,47,6,4,42,21,3.32,.395
8,澳洲,5,2/3,4.93,0,0,1,3,42.0,37,23,23,2,5,25,38,1.48,.242
9,美國,7,7/0,4.20,0,0,2,3,60.0,59,28,28,8,2,20,55,1.32,.255
10,多明尼加,4,2/2,2.73,0,1,0,0,33.0,23,11,10,2,1,9,36,0.97,.197
11,加拿大,4,2/2,8.71,0,1,0,0,31.0,33,30,30,4,4,24,35,1.84,.284
12,哥倫比亞,4,1/3,4.75,0,0,0,3,36.0,33,19,19,3,4,18,37,1.42,.244
13,捷克,6,3/3,3.83,0,0,2,5,54.0,45,24,23,7,1,22,58,1.24,.228
14,波多黎各,5,3/2,3.35,0,1,1,2,43.0,31,17,16,5,1,14,47,1.05,.196
15,委內瑞拉,5,3/2,3.40,0,0,2,3,45.0,48,18,17,3,1,14,56,1.38,.273
16,義大利,5,3/2,4.91,0,0,1,1,44.0,46,26,24,7,6,21,37,1.52,.274
17,巴拿馬,4,2/2,5.40,0,1,1,2,35.0,47,21,21,3,1,15,24,1.77,.333
18,捷克,4,1/3,7.94,0,0,0,1,34.0,36,30,30,4,1,23,22,1.74,.281
19,英國,4,1/3,7.84,0,0,1,1,31.0,40,31,27,4,1,31,22,2.29,.296
20,尼加拉瓜,4,0/4,4.91,0,0,0,2,33.0,37,22,18,2,5,15,24,1.58,.285
小計/平均,,0/0,0.00,0,0,0,0,0.0,0,0,0,0,0,0,0,0.00,.000
